humidity,light,temperature,occupancy
0,'OFF',19.0,0.0
1,'OFF',19.0,0.0
2,'OFF',19.0,0.0
3,'OFF',19.0,0.0
4,'OFF',19.0,0.0
5,'ON',19.0,0.0
6,'OFF',19.0,0.0
7,'OFF',19.0,0.0
8,'OFF',19.0,0.0
9,'OFF',19.0,0.0
10,'OFF',19.0,0.0
11,'OFF',19.0,0.0
12,'OFF',19.0,0.0
13,'OFF',21.0,0.0
14,'OFF',19.0,0.0
15,'OFF',19.0,0.0
16,'OFF',19.0,0.0
17,'OFF',19.0,1.0
18,'OFF',19.0,0.0
19,'ON',19.0,0.0
20,'OFF',19.0,0.0
21,'OFF',19.0,0.0
22,'ON',19.0,0.0
23,'OFF',19.0,1.0
24,'OFF',19.0,0.0
25,'OFF',19.0,0.0
26,'OFF',19.0,1.0
27,'OFF',19.0,0.0
28,'OFF',19.0,0.0
29,'OFF',19.0,0.0
30,'OFF',19.0,0.0
31,'OFF',19.0,0.0
32,'OFF',19.0,0.0
33,'OFF',19.0,0.0
34,'OFF',19.0,0.0
35,'OFF',19.0,0.0
36,'OFF',19.0,0.0
37,'OFF',19.0,0.0
38,'OFF',19.0,0.0
39,'OFF',19.0,0.0
40,'OFF',19.0,1.0
41,'ON',19.0,0.0
42,'OFF',19.0,0.0
43,'OFF',19.0,0.0
44,'OFF',19.0,0.0
45,'OFF',19.0,0.0
46,'OFF',22.0,0.0
47,'ON',19.0,0.0
48,'OFF',19.0,0.0
49,'OFF',19.0,0.0
50,'OFF',19.0,0.0
51,'OFF',19.0,0.0
52,'OFF',19.0,0.0
53,'OFF',19.0,0.0
54,'OFF',19.0,0.0
55,'OFF',19.0,0.0
56,'OFF',19.0,0.0
57,'OFF',19.0,0.0
58,'OFF',19.0,0.0
59,'OFF',19.0,0.0
60,'OFF',19.0,0.0
61,'OFF',19.0,0.0
62,'OFF',19.0,0.0
63,'OFF',19.0,0.0
64,'OFF',19.0,1.0
65,'OFF',19.0,0.0
66,'OFF',19.0,0.0
67,'OFF',19.0,0.0
68,'OFF',19.0,0.0
69,'ON',19.0,1.0
70,'OFF',19.0,0.0
71,'OFF',19.0,0.0
72,'OFF',19.0,0.0
73,'OFF',19.0,0.0
74,'OFF',19.0,0.0
75,'OFF',19.0,0.0
76,'OFF',19.0,0.0
77,'OFF',19.0,1.0
78,'OFF',19.0,0.0
79,'OFF',19.0,0.0
80,'OFF',19.0,0.0
81,'OFF',19.0,0.0
82,'OFF',19.0,0.0
83,'ON',19.0,0.0
84,'OFF',19.0,0.0
85,'OFF',19.0,0.0
86,'OFF',19.0,0.0
87,'OFF',19.0,0.0
88,'OFF',19.0,0.0
89,'OFF',19.0,0.0
90,'OFF',19.0,0.0
91,'OFF',19.0,0.0
92,'OFF',19.0,1.0
93,'OFF',19.0,0.0
94,'OFF',19.0,0.0
95,'OFF',19.0,0.0
96,'OFF',19.0,0.0
97,'OFF',19.0,0.0
98,'OFF',19.0,0.0
99,'OFF',19.0,0.0
100,'OFF',21.0,0.0
101,'OFF',19.0,0.0
102,'OFF',19.0,0.0
103,'OFF',19.0,0.0
104,'OFF',19.0,0.0
105,'OFF',19.0,0.0
106,'OFF',19.0,0.0
107,'OFF',19.0,0.0
108,'OFF',19.0,0.0
109,'OFF',19.0,1.0
