id,nr,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,bass,meter,cord
000106b_,1,1,0,0,0,0,1,0,0,0,1,0,0,F,3,F_M
000106b_,2,1,0,0,0,1,0,0,1,0,0,0,0,E,5,C_M
000106b_,3,1,0,0,0,1,0,0,1,0,0,0,0,E,2,C_M
000106b_,4,1,0,0,0,0,1,0,0,0,1,0,0,F,3,F_M
000106b_,5,1,0,0,0,0,1,0,0,0,1,0,0,F,2,F_M
000106b_,6,0,0,1,0,0,1,0,0,0,1,0,0,D,4,D_m
000106b_,7,0,0,1,0,0,1,0,0,0,1,0,0,D,2,D_m
000106b_,8,1,0,0,0,0,1,0,0,0,1,0,0,A,3,F_M
000106b_,9,1,0,0,0,0,1,0,0,0,1,0,0,A,2,F_M
000106b_,10,0,0,1,0,0,1,0,0,0,0,1,0,Bb,5,BbM
000106b_,11,0,0,1,0,0,1,0,0,0,0,1,0,Bb,1,BbM
000106b_,12,1,0,1,0,0,1,0,0,0,1,1,0,C,2,BbM
000106b_,13,1,0,1,0,0,1,0,1,0,0,1,0,C,1,BbM
000106b_,14,0,0,1,0,0,1,0,0,0,0,1,0,D,3,BbM
000106b_,15,0,0,1,0,1,1,0,1,0,0,1,0,E,2,BbM
000106b_,16,1,0,0,0,0,1,0,0,0,1,0,0,F,4,F_M
000106b_,17,1,0,0,0,0,1,0,0,0,1,0,0,F,3,F_M
000106b_,18,0,0,1,0,0,1,0,0,0,0,1,0,Bb,5,BbM
000106b_,19,0,0,1,0,0,1,0,1,0,0,1,0,Bb,2,BbM
000106b_,20,0,0,1,0,0,1,0,0,0,1,1,0,Bb,1,BbM
000106b_,21,0,0,0,0,1,0,0,1,0,1,1,0,A,3,C_M7
000106b_,22,1,0,0,0,1,0,0,1,0,0,1,0,G,2,C_M7
000106b_,23,0,0,0,0,1,0,0,1,0,0,1,0,G,1,C_M7
000106b_,24,1,0,0,0,0,1,0,0,0,1,0,0,A,4,F_M
000106b_,25,0,0,1,0,0,1,0,1,0,0,0,1,B,2,F_M
000106b_,26,1,0,0,0,1,0,0,1,0,0,0,0,C,3,C_M
000106b_,27,1,0,0,0,1,0,0,1,0,0,0,0,C,2,C_M
000106b_,28,1,0,1,0,0,1,0,0,0,1,0,0,F,5,D_m7
000106b_,29,0,0,1,0,1,1,0,0,0,1,0,1,F,2,D_m7
000106b_,30,0,0,1,0,1,1,0,0,0,1,0,0,F,1,D_m7
000106b_,31,0,0,1,0,0,0,0,1,0,0,0,1,G,3,G_M
000106b_,32,1,0,0,0,1,0,0,1,0,0,0,0,C,4,C_M
000106b_,33,1,0,0,0,0,1,0,0,0,1,0,0,F,3,F_M
