day_of_week,attr_2
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Mon,Mon
Tue,Mon
Tue,Mon
Tue,Mon
Tue,Mon
Tue,Mon
Tue,Mon
Tue,Mon
Tue,Mon
Tue,Mon
Tue,Mon
Tue,Mon
Tue,Mon
Tue,Mon
Tue,Mon
Tue,Mon
Tue,Mon
Wed,Mon
Sat,Mon
Tue,Mon
Tue,Mon
Tue,Mon
Sun,Mon
Tue,Mon
Tue,Mon
Tue,Mon
Tue,Mon
Tue,Mon
Tue,Mon
Tue,Mon
Tue,Mon
Tue,Mon
Tue,Mon
Tue,Mon
Tue,Mon
Sat,Mon
Tue,Mon
Tue,Mon
Tue,Mon
Tue,Mon
Thu,Mon
Tue,Mon
Tue,Mon
Tue,Mon
Tue,Mon
Tue,Mon
Tue,Mon
Tue,Mon
Tue,Mon
Tue,Mon
Tue,Mon
Tue,Mon
Mon,Mon
Tue,Mon
Fri,Mon
Tue,Mon
Tue,Mon
Tue,Mon
Tue,Mon
Tue,Mon
Tue,Mon
Tue,Mon
Tue,Mon
Tue,Mon
Fri,Mon
Tue,Mon
Tue,Mon
Tue,Mon
Tue,Mon
Tue,Mon
Tue,Mon
Tue,Mon
Tue,Mon
Tue,Mon
Tue,Mon
Tue,Mon
Tue,Mon
Tue,Mon
Tue,Mon
Tue,Mon
Tue,Mon
Tue,Mon
Tue,Mon
Tue,Mon
Tue,Mon
Tue,Mon
Tue,Mon
Tue,Mon
