light,temperature,occupancy
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,1.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
ON,22.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
ON,18.0,1.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,1.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
ON,18.0,0.0
OFF,18.0,0.0
OFF,20.0,0.0
OFF,20.0,0.0
ON,18.0,0.0
OFF,18.0,0.0
ON,18.0,0.0
OFF,20.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
ON,18.0,0.0
OFF,18.0,0.0
OFF,22.0,1.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,20.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
ON,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,1.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,22.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,1.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
ON,18.0,1.0
OFF,18.0,1.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,20.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
ON,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,1.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,22.0,0.0
OFF,18.0,0.0
OFF,22.0,0.0
OFF,18.0,0.0
ON,18.0,1.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
ON,18.0,0.0
OFF,18.0,0.0
ON,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
ON,18.0,0.0
OFF,18.0,0.0
ON,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,1.0
OFF,22.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,22.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,1.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,1.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,22.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,1.0
OFF,22.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,1.0
OFF,20.0,1.0
OFF,18.0,1.0
OFF,18.0,1.0
OFF,18.0,0.0
ON,18.0,1.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,1.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,1.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,1.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,20.0,0.0
OFF,18.0,0.0
OFF,18.0,1.0
OFF,18.0,0.0
ON,18.0,0.0
OFF,18.0,1.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,1.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
ON,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
ON,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,22.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,1.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,22.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,22.0,0.0
OFF,18.0,0.0
ON,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
ON,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
ON,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,1.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
ON,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
ON,18.0,0.0
OFF,18.0,1.0
OFF,18.0,0.0
OFF,18.0,0.0
ON,18.0,0.0
OFF,18.0,1.0
OFF,18.0,0.0
ON,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,1.0
OFF,20.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
ON,22.0,0.0
OFF,18.0,0.0
OFF,18.0,1.0
ON,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,0.0
OFF,18.0,1.0
OFF,20.0,0.0
OFF,22.0,0.0
OFF,20.0,0.0
OFF,20.0,0.0
OFF,20.0,0.0
ON,18.0,0.0
OFF,20.0,0.0
OFF,20.0,0.0
OFF,20.0,1.0
OFF,18.0,0.0
OFF,20.0,0.0
OFF,20.0,0.0
OFF,20.0,0.0
OFF,20.0,0.0
OFF,20.0,0.0
OFF,22.0,0.0
OFF,20.0,0.0
OFF,20.0,0.0
OFF,20.0,0.0
OFF,20.0,0.0
OFF,20.0,0.0
OFF,20.0,0.0
OFF,20.0,0.0
OFF,20.0,0.0
OFF,20.0,0.0
OFF,20.0,0.0
ON,20.0,0.0
OFF,20.0,0.0
OFF,18.0,0.0
OFF,20.0,0.0
OFF,20.0,0.0
ON,20.0,0.0
OFF,20.0,0.0
ON,20.0,0.0
OFF,20.0,0.0
OFF,20.0,0.0
OFF,20.0,0.0
OFF,20.0,0.0
OFF,20.0,0.0
OFF,20.0,0.0
OFF,20.0,0.0
OFF,20.0,0.0
OFF,20.0,0.0
OFF,20.0,1.0
OFF,20.0,0.0
OFF,20.0,0.0
OFF,20.0,0.0
OFF,20.0,0.0
OFF,20.0,0.0
ON,20.0,0.0
ON,18.0,0.0
OFF,20.0,0.0
OFF,18.0,0.0
OFF,20.0,0.0
OFF,20.0,1.0
OFF,20.0,1.0
OFF,20.0,0.0
OFF,20.0,0.0
OFF,20.0,0.0
OFF,20.0,0.0
OFF,20.0,0.0
OFF,20.0,0.0
OFF,22.0,0.0
OFF,22.0,0.0
OFF,20.0,0.0
OFF,20.0,0.0
OFF,22.0,0.0
OFF,20.0,0.0
OFF,20.0,0.0
OFF,20.0,0.0
OFF,20.0,0.0
OFF,20.0,0.0
OFF,20.0,0.0
OFF,20.0,0.0
OFF,20.0,0.0
OFF,20.0,0.0
OFF,18.0,1.0
OFF,20.0,0.0
OFF,18.0,0.0
ON,20.0,0.0
OFF,20.0,0.0
OFF,20.0,0.0
OFF,20.0,0.0
OFF,20.0,0.0
OFF,22.0,0.0
OFF,20.0,0.0
ON,20.0,0.0
OFF,20.0,0.0
OFF,22.0,1.0
OFF,20.0,0.0
OFF,20.0,0.0
OFF,20.0,0.0
OFF,20.0,0.0
OFF,20.0,0.0
OFF,20.0,0.0
OFF,20.0,0.0
OFF,20.0,0.0
OFF,20.0,0.0
OFF,20.0,1.0
OFF,20.0,0.0
OFF,20.0,0.0
OFF,18.0,0.0
OFF,20.0,0.0
OFF,20.0,0.0
OFF,20.0,0.0
OFF,20.0,0.0
OFF,20.0,0.0
OFF,20.0,0.0
OFF,20.0,0.0
OFF,20.0,0.0
OFF,20.0,0.0
OFF,22.0,0.0
OFF,20.0,0.0
